,title,description,date,link
146,"20 augusti 07:39, Sammanfattning natt, Jämtlands län",Ett urval av nattens polisverksamhet.,"Thu, 20 Aug 2020 08:09:32 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0739-sammanfattning-natt-jamtlands-lan/
147,"20 augusti 03:45, Rattfylleri, Ludvika",En bilist är misstänkt för att ha kört bil i påverkat tillstånd i centrala Ludvika.,"Thu, 20 Aug 2020 07:54:30 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0345-rattfylleri-ludvika/
148,"19 augusti 22:21, Inbrott, Hedemora",Det har varit inbrott i en bilverkstad i centrum.,"Thu, 20 Aug 2020 07:50:23 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/19/19-augusti-2221-inbrott-hedemora/
149,"20 augusti 04:37, Inbrott, Borlänge",Det har varit inbrott i en lägenhet i Jakobsgårdarna.,"Thu, 20 Aug 2020 07:46:08 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0437-inbrott-borlange/
150,"20 augusti 06:58, Inbrott, Färgelanda",Vid Kostorpsvägen är det en man som konstaterar att det varit inbrott i hans bostad.,"Thu, 20 Aug 2020 07:40:43 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0658-inbrott-fargelanda/
151,"20 augusti 03:21, Rån, försök, Tyresö",Polis kallas till Tyresö med anledning av att tre gärningsmän försökt att råna anmälaren på dennes bil.,"Thu, 20 Aug 2020 07:37:20 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0321-ran-forsok-tyreso/
152,"19 augusti 22:40, Rattfylleri, Borlänge",En bilist är misstänkt för att ha kört bil i påverkat tillstånd i Romme.,"Thu, 20 Aug 2020 07:37:02 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/19/19-augusti-2240-rattfylleri-borlange/
153,"19 augusti 22:36, Brand, Borlänge",Det har brunnit in en bostad i Tjärna ängar.,"Thu, 20 Aug 2020 07:30:18 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/19/19-augusti-2236-brand-borlange/
154,"20 augusti 04:17, Brand, Malmö","Brand i bil, Rosengård.","Thu, 20 Aug 2020 07:21:36 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0417-brand-malmo/
155,"20 augusti 02:59, Olovlig körning, Landskrona","Sextonåring bilist stoppad vid kontroll, E6 Tullstorp.","Thu, 20 Aug 2020 07:19:22 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0259-olovlig-korning-landskrona/
156,"20 augusti 07:00, Sammanfattning natt, Norrbottens län",Ett urval av nattens polisverksamhet.,"Thu, 20 Aug 2020 07:16:25 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0700-sammanfattning-natt-norrbottens-lan/
